Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
261695,01/12/2021,1,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261696,02/01/2021,2,January,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 47",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261697, 03/02/021,3,February,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 48",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261698,04/03/2021,4,March,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 49",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261699,05/04/2021,5,April,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 50",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261700,06/05/2021,6,May,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 51",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261701,07/06/2021,7,June,2021,39,,F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 52",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261702,08/07/2021,8,July,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 53",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261703,09/08/2021,9,August,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 54",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261704,10/09/2021,10,September,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 54",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261704,05/12/2021,,December,2021,42,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4,"$1,252.00 ","$2,295.00 ","$4,172.00 ","$5,008.00 ","$9,180.00 "
261705,05/12/2021,5,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,"$1,266.00 ","$2,320.00 ","$1,054.00 ","$1,266.00 ","$2,320.00 "
261706,05/12/2021,5,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261707,06/12/2021,6,December,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",3,$420.00 ,$769.00 ,"$1,047.00 ","$1,260.00 ","$2,307.00 "
261708,06/12/2021,6,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
261709,06/12/2021,6,December,2021,36,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,"$1,252.00 ","$2,295.00 ","$1,043.00 ","$1,252.00 ","$2,295.00 "
